1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.16,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.38,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.16,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.38,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.38,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.38,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.04,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.53
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.16,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.17,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.17,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.18,0.17,1.21,1,-0.05,0.04,1.27,2,0.02,-0.15,1.37,3,0.03,-0.19,1.39,4,-0.2,-0.05,1.37,5,-0.22,-0.24,1.52
1,0,-0.31,0.16,1.16,1,-0.21,0.02,1.25,2,-0.2,-0.22,1.31,3,-0.2,-0.26,1.32,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.31,0.17,1.16,1,-0.21,0.03,1.25,2,-0.2,-0.21,1.31,3,-0.2,-0.26,1.32,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.31,0.17,1.16,1,-0.21,0.03,1.25,2,-0.2,-0.21,1.31,3,-0.2,-0.26,1.32,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.31,0.17,1.16,1,-0.22,0.03,1.25,2,-0.21,-0.21,1.31,3,-0.21,-0.26,1.32,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.31,0.17,1.16,1,-0.22,0.03,1.25,2,-0.21,-0.21,1.31,3,-0.21,-0.26,1.32,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.31,0.17,1.16,1,-0.22,0.03,1.25,2,-0.21,-0.21,1.31,3,-0.21,-0.26,1.32,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.31,0.17,1.16,1,-0.22,0.03,1.25,2,-0.17,-0.21,1.33,3,-0.16,-0.25,1.34,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.31,0.17,1.16,1,-0.22,0.03,1.25,2,-0.17,-0.21,1.33,3,-0.16,-0.25,1.34,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.32,0.17,1.16,1,-0.22,0.03,1.25,2,-0.16,-0.2,1.33,3,-0.14,-0.25,1.36,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.32,0.17,1.16,1,-0.22,0.03,1.25,2,-0.16,-0.2,1.33,3,-0.14,-0.25,1.36,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.32,0.16,1.16,1,-0.22,0.03,1.25,2,-0.15,-0.2,1.34,3,-0.13,-0.25,1.36,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
1,0,-0.32,0.16,1.16,1,-0.22,0.03,1.25,2,-0.15,-0.2,1.34,3,-0.13,-0.25,1.36,4,-0.39,-0.09,1.31,5,-0.43,-0.25,1.2
